source,D_mm,T_mm,d_mm,t_mm,d_D,D_T,load_type,load_category,membrane_stress_MPa,dist_S_mm,dist_norm,exp_decay,stress_MPa,surface,data_source,inside,on_nozzle,angle_deg,angle_sin,angle_cos,SCF
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,50,0.39777247414478917,0.6718148655258898,17,nozzle,FEA_20node,0,1,0,0,1,1.9320377315604047
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,65,0.5171042163882259,0.5962446459323872,17,nozzle,FEA_20node,0,1,0,0,1,1.9320377315604047
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,80,0.6364359586316627,0.5291750689749178,19,nozzle,FEA_20node,0,1,0,0,1,2.15933628821457
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,95,0.7557677008750995,0.4696499256386838,21,nozzle,FEA_20node,0,1,0,0,1,2.3866348448687353
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,100,0.7955449482895783,0.4513352135415693,22,nozzle,FEA_20node,0,1,0,0,1,2.5002841231958177
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,0,0.0,1.0,160,nozzle,experiment,0,1,0,0,1,18.18388453233322
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,5,0.03977724741447892,0.9610034813223741,110,nozzle,experiment,0,1,0,0,1,12.50142061597909
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,10,0.07955449482895784,0.9235276911137226,68,nozzle,experiment,0,1,0,0,1,7.728150926241619
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,18,0.1431980906921241,0.8665823899866384,40,nozzle,experiment,0,1,0,0,1,4.545971133083305
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,30,0.2386634844868735,0.7876799042853645,10,nozzle,experiment,0,1,0,0,1,1.1364927832708263
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,50,0.39777247414478917,0.6718148655258898,10,nozzle,experiment,0,1,0,0,1,1.1364927832708263
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,62,0.49323786793953855,0.6106459986834917,10,nozzle,experiment,0,1,0,0,1,1.1364927832708263
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,0,0.0,1.0,135,vessel,FEA_20node,0,0,0,0,1,15.342652574156155
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,5,0.03977724741447892,0.9610034813223741,100,vessel,FEA_20node,0,0,0,0,1,11.364927832708263
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,10,0.07955449482895784,0.9235276911137226,68,vessel,FEA_20node,0,0,0,0,1,7.728150926241619
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,18,0.1431980906921241,0.8665823899866384,38,vessel,FEA_20node,0,0,0,0,1,4.31867257642914
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,25,0.19888623707239458,0.8196431330316198,20,vessel,FEA_20node,0,0,0,0,1,2.2729855665416525
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,40,0.31821797931583135,0.7274442033413406,14,vessel,FEA_20node,0,0,0,0,1,1.591089896579157
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,60,0.477326968973747,0.6204396316150009,15,vessel,FEA_20node,0,0,0,0,1,1.7047391749062395
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,80,0.6364359586316627,0.5291750689749178,18,vessel,FEA_20node,0,0,0,0,1,2.0456870098874873
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,100,0.7955449482895783,0.4513352135415693,19,vessel,FEA_20node,0,0,0,0,1,2.15933628821457
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,120,0.954653937947494,0.3849453364785581,17,vessel,FEA_20node,0,0,0,0,1,1.9320377315604047
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,140,1.1137629276054097,0.32832118485464074,16,vessel,FEA_20node,0,0,0,0,1,1.818388453233322
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,155,1.2330946698488465,0.29138942685127756,17,vessel,FEA_20node,0,0,0,0,1,1.9320377315604047
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,0,0.0,1.0,70,vessel,FEA_20node,0,0,0,0,1,7.9554494828957845
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,5,0.03977724741447892,0.9610034813223741,25,vessel,FEA_20node,0,0,0,0,1,2.8412319581770658
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,10,0.07955449482895784,0.9235276911137226,-5,vessel,FEA_20node,0,0,0,0,1,0.5682463916354131
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,15,0.11933174224343675,0.8875133262579016,-10,vessel,FEA_20node,0,0,0,0,1,1.1364927832708263
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,20,0.15910898965791567,0.8529033962538435,-8,vessel,FEA_20node,0,0,0,0,1,0.909194226616661
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,25,0.19888623707239458,0.8196431330316198,-2,vessel,FEA_20node,0,0,0,0,1,0.22729855665416526
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,35,0.27844073190135243,0.7569631301859097,5,vessel,FEA_20node,0,0,0,0,1,0.5682463916354131
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,50,0.39777247414478917,0.6718148655258898,8,vessel,FEA_20node,0,0,0,0,1,0.909194226616661
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,70,0.5568814638027049,0.5729931804608505,8,vessel,FEA_20node,0,0,0,0,1,0.909194226616661
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,90,0.7159904534606205,0.48870782964535076,7,vessel,FEA_20node,0,0,0,0,1,0.7955449482895784
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,110,0.8750994431185362,0.4168205676803644,7,vessel,FEA_20node,0,0,0,0,1,0.7955449482895784
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,130,1.0342084327764518,0.3555076778030378,6,vessel,FEA_20node,0,0,0,0,1,0.6818956699624957
COBEM2007_Petrobras,248.9,2.5,124.5,1.3,0.5002008838891121,99.56,pressure,pressure,8.799,150,1.1933174224343674,0.3032137057925281,5,vessel,FEA_20node,0,0,0,0,1,0.5682463916354131
