line_id,date,recon_error,threshold,is_anomaly
E-101,2022-01-30,0.695858,0.79665,0
E-101,2022-01-31,0.722691,0.79665,0
E-101,2022-02-01,0.734987,0.79665,0
E-101,2022-02-02,0.722141,0.79665,0
E-101,2022-02-03,0.71191,0.79665,0
E-101,2022-02-04,0.695532,0.79665,0
E-101,2022-02-05,0.692296,0.79665,0
E-101,2022-02-06,0.697219,0.79665,0
E-101,2022-02-07,0.795376,0.79665,0
E-101,2022-02-08,0.784736,0.79665,0
E-101,2022-02-09,0.920762,0.79665,1
E-101,2022-02-10,0.913388,0.79665,1
E-101,2022-02-11,0.931765,0.79665,1
E-101,2022-02-12,0.912871,0.79665,1
E-101,2022-02-13,0.870081,0.79665,1
E-101,2022-02-14,0.81385,0.79665,1
E-101,2022-02-15,0.818844,0.79665,1
E-101,2022-02-16,0.819627,0.79665,1
E-101,2022-02-17,0.828291,0.79665,1
E-101,2022-02-18,0.823039,0.79665,1
E-101,2022-02-19,0.806241,0.79665,1
E-101,2022-02-20,0.806421,0.79665,1
E-101,2022-02-21,0.803874,0.79665,1
E-101,2022-02-22,0.790898,0.79665,0
E-101,2022-02-23,0.743645,0.79665,0
E-101,2022-02-24,0.746071,0.79665,0
E-101,2022-02-25,0.737582,0.79665,0
E-101,2022-02-26,0.728599,0.79665,0
E-101,2022-02-27,0.736385,0.79665,0
E-101,2022-02-28,0.758283,0.79665,0
E-101,2022-03-01,0.751723,0.79665,0
E-101,2022-03-02,0.738779,0.79665,0
E-101,2022-03-03,0.731494,0.79665,0
E-101,2022-03-04,0.708048,0.79665,0
E-101,2022-03-05,0.757074,0.79665,0
E-101,2022-03-06,0.756951,0.79665,0
E-101,2022-03-07,0.750455,0.79665,0
E-101,2022-03-08,0.755245,0.79665,0
E-101,2022-03-09,0.666168,0.79665,0
E-101,2022-03-10,0.629772,0.79665,0
E-101,2022-03-11,0.477929,0.79665,0
E-101,2022-03-12,0.486035,0.79665,0
E-101,2022-03-13,0.485216,0.79665,0
E-101,2022-03-14,0.500152,0.79665,0
E-101,2022-03-15,0.522199,0.79665,0
E-101,2022-03-16,0.542097,0.79665,0
E-101,2022-03-17,0.538055,0.79665,0
E-101,2022-03-18,0.53231,0.79665,0
E-101,2022-03-19,0.562595,0.79665,0
E-101,2022-03-20,0.577309,0.79665,0
E-101,2022-03-21,0.576218,0.79665,0
E-101,2022-03-22,0.558981,0.79665,0
E-101,2022-03-23,0.549292,0.79665,0
E-101,2022-03-24,0.536713,0.79665,0
E-101,2022-03-25,0.566754,0.79665,0
E-101,2022-03-26,0.55627,0.79665,0
E-101,2022-03-27,0.758904,0.79665,0
E-101,2022-03-28,0.79979,0.79665,1
E-101,2022-03-29,0.814434,0.79665,1
E-101,2022-03-30,0.801715,0.79665,1
E-101,2022-03-31,0.805167,0.79665,1
E-101,2022-04-01,0.772289,0.79665,0
E-101,2022-04-02,0.776562,0.79665,0
E-101,2022-04-03,0.771276,0.79665,0
E-101,2022-04-04,0.845204,0.79665,1
E-101,2022-04-05,0.852743,0.79665,1
E-101,2022-04-06,0.863601,0.79665,1
E-101,2022-04-07,0.930351,0.79665,1
E-101,2022-04-08,0.918451,0.79665,1
E-101,2022-04-09,0.916829,0.79665,1
E-101,2022-04-10,0.951043,0.79665,1
E-101,2022-04-11,0.962499,0.79665,1
E-101,2022-04-12,0.984962,0.79665,1
E-101,2022-04-13,0.930206,0.79665,1
E-101,2022-04-14,0.923699,0.79665,1
E-101,2022-04-15,0.886523,0.79665,1
E-101,2022-04-16,0.88434,0.79665,1
E-101,2022-04-17,0.873888,0.79665,1
E-101,2022-04-18,0.83569,0.79665,1
E-101,2022-04-19,0.861342,0.79665,1
E-101,2022-04-20,0.85746,0.79665,1
E-101,2022-04-21,0.949998,0.79665,1
E-101,2022-04-22,0.968284,0.79665,1
E-101,2022-04-23,0.969405,0.79665,1
E-101,2022-04-24,0.972637,0.79665,1
E-101,2022-04-25,0.977424,0.79665,1
E-101,2022-04-26,0.709717,0.79665,0
E-101,2022-04-27,0.735967,0.79665,0
E-101,2022-04-28,0.720053,0.79665,0
E-101,2022-04-29,0.72024,0.79665,0
E-101,2022-04-30,0.723755,0.79665,0
E-101,2022-05-01,0.713936,0.79665,0
E-101,2022-05-02,0.869799,0.79665,1
E-101,2022-05-03,0.869723,0.79665,1
E-101,2022-05-04,0.798959,0.79665,1
E-101,2022-05-05,0.791548,0.79665,0
E-101,2022-05-06,0.814101,0.79665,1
E-101,2022-05-07,0.795716,0.79665,0
E-101,2022-05-08,0.797882,0.79665,1
E-101,2022-05-09,0.825703,0.79665,1
E-101,2022-05-10,0.817787,0.79665,1
E-101,2022-05-11,0.797979,0.79665,1
E-101,2022-05-12,0.802067,0.79665,1
E-101,2022-05-13,0.809237,0.79665,1
E-101,2022-05-14,0.788766,0.79665,0
E-101,2022-05-15,0.820718,0.79665,1
E-101,2022-05-16,0.813553,0.79665,1
E-101,2022-05-17,0.847324,0.79665,1
E-101,2022-05-18,0.827846,0.79665,1
E-101,2022-05-19,0.794385,0.79665,0
E-101,2022-05-20,0.769973,0.79665,0
E-101,2022-05-21,0.71993,0.79665,0
E-101,2022-05-22,0.742085,0.79665,0
E-101,2022-05-23,0.749715,0.79665,0
E-101,2022-05-24,0.752896,0.79665,0
E-101,2022-05-25,0.775141,0.79665,0
E-101,2022-05-26,0.792323,0.79665,0
E-101,2022-05-27,0.764944,0.79665,0
E-101,2022-05-28,0.760031,0.79665,0
E-101,2022-05-29,0.768966,0.79665,0
E-101,2022-05-30,0.778459,0.79665,0
E-101,2022-05-31,0.788637,0.79665,0
E-101,2022-06-01,0.536861,0.79665,0
E-101,2022-06-02,0.527137,0.79665,0
E-101,2022-06-03,0.535629,0.79665,0
E-101,2022-06-04,0.572638,0.79665,0
E-101,2022-06-05,0.567024,0.79665,0
